Godot Engine v4.7.stable.official.5b4e0cb0f - https://godotengine.org

PASS | cuốc được GRASS
PASS | cuốc được DARK_GRASS
PASS | cuốc được DIRT
PASS | cuốc được DARK_DIRT
PASS | cuốc được YOUNG_GRASS
PASS | không cuốc được STONE
PASS | không cuốc được SAND
PASS | không cuốc được BEDROCK
PASS | không cuốc lại đất tơi xốp
PASS | is_soil(TILLED_SOIL) đúng
PASS | is_soil(GRASS) sai → false
PASS | SOIL_RADIUS == 3
PASS | ITEM_TO_BLOCK[block_tilled_soil] → 32
PASS | BLOCK_TO_ITEM[32] → block_tilled_soil
PASS | ITEM_TO_BLOCK[block_young_grass] → 38
PASS | BLOCK_TO_ITEM[38] → block_young_grass
PASS | hoe tồn tại, loại TOOL
PASS | hoe sát thương 2
PASS | block_tilled_soil là BLOCK
PASS | block_young_grass là BLOCK
PASS | 3 mầm cây tồn tại
PASS | mầm stack 16
PASS | coconut_seed là seed item
PASS | seaweed_seed là seed item
PASS | hoe không phải seed item
PASS | nền rong: cát đại dương
PASS | nền rong: bùn đại dương
PASS | nền rong: đá → false
PASS | chunk setup sync ok
PASS | tìm được cột có thể cuốc (0,0)
PASS | till trả về block cũ (2)
PASS | block sau cuốc = TILLED_SOIL
PASS | top cache không đổi sau cuốc
PASS | _has_soil = true
PASS | _scan_has_soil tìm thấy đất
PASS | cuốc STONE → 0 (không cuốc được)
PASS | có soil mesh instance
PASS | đất khô: tint sáng (r≈1)
PASS | đất ẩm khi có nước kề bên (tint xanh)
PASS | vẫn có soil sau khi ẩm
PASS | bỏ nước → đất khô lại
PASS | place_block_at đặt TILLED_SOIL ok
PASS | scan thấy đất sau khi đặt
PASS | hết đất → scan rỗng
PASS | _has_soil = false khi hết đất
PASS | không có đất → mesh rỗng, không crash
TOTAL | PASS | 0 failures
